date_bought,ticker,name,shares,buy_price
02/13/2009,AMZN,Amazon,1288,4.091
05/05/2025,APH,Amphenol,600,80.589
07/02/2007,AAPL,Apple,1280,9.415
03/18/2020,BMRN,BioMarin,115,75.212
08/19/2009,BA,Boeing,1020,145.68
05/23/2023,CAT,Caterpillar,352,222.791
04/01/2021,CB,Chubb,378,158.826
09/03/2020,DDOG,Datadog,224,79.53
09/03/2020,DAL,Delta Air Lines,2739,31.883
09/03/2020,DVN,Devon Energy,4820,9.709
06/09/2023,LLY,Eli Lilly,187,517.785
02/18/2021,XOM,ExxonMobil,544,57.777
08/06/2021,F,Ford,1745,13.827
03/16/2016,HD,Home Depot,521,144.34
04/27/2020,ISRG,Intuitive Surgical,460,173.409
03/13/2020,JPM,JPMorgan Chase,484,94.762
10/20/2020,LHX,L3Harris,223,177.613
08/08/2011,MAR,Marriott,1058,30.472
05/25/2011,MA,Mastercard,513,38.502
05/02/2022,MRK,Merck,580,87.77
08/09/2019,MSFT,Microsoft,703,136.659
03/09/2021,MRNA,Moderna,64,131.396
02/04/2019,NBIX,Neurocrine Biosciences,454,82.387
06/01/2016,PANW,Palo Alto Networks,1933,20.521
08/09/1994,PAYX,Paychex,535,2.985
09/20/2012,REGN,Regeneron,69,178.487
03/19/2024,RTX,RTX,1400,97.946
07/05/2019,SPGI,S&P Global,133,223.527
06/12/2019,CRM,Salesforce,806,148.815
03/26/2020,NOW,ServiceNow,1935,63.105
02/24/1994,SBUX,Starbucks,2500,1.496
04/30/2025,TMO,Thermo Fisher,110,426.28
06/24/2020,MTN,Vail Resorts,24,186.06
01/09/2017,ZTS,Zoetis,1031,54.689
06/13/2024,Foreign Stock,Foreign Stock,1,84481.66
